;name;descript;rate;school;start;length;price;link;Tag
0;Online-курс Java разработки;Курс для тех, кто хочет гарантированно стать разработчиком, но не хочет брать кредит или рассрочку в банке. Kata гарантирует трудоустройство и минимальную зарплату от 100 тысяч. Оплата курса — только после трудоустройства в IT.;4.8;Kata Academy by Java Mentor;27 Декабря;8 месяцев;408 000;https://tutortop.ru/goto/?number=4792&term=9;Java
1;Профессия: Java-разработчик с гарантией трудоустройства;онлайн-школа от Skyeng;4.9;Skypro;23 Декабря;11 месяцев;193 700;https://tutortop.ru/goto/?number=4792&term=9;Java
2;Python-разработчик;-;4.8;Eduson Academy;17 Декабря;9 месяцев;199 000;https://tutortop.ru/goto/?number=4792&term=9;PY
3;Онлайн-курс Веб-разработчик с нуля;учат на реальных проектах. Можно пройти курс на индивидуальной основе. Могут выдать диплом гос.образца при необходимости.;4.9;Бруноям;16 Декабря;9 месяцев;133 200;https://tutortop.ru/goto/?number=4792&term=9;Web
4;Профессия: Java-разработчик;Вы научитесь программировать с нуля на самом популярном языке программирования Java, добавите сильные проекты к себе в портфолио и станете востребованным специалистом. Спикеры курса - эксперты из Amazon, HeadHunter, Skyeng. Курс гарантирует трудоустройство во время обучения. Карьерный центр поможет найти работу или вам вернут деньги.;4.8;ProductStar;17 Декабря;16 месяцев;170 000;https://tutortop.ru/goto/?number=4792&term=9;Java
5;Профессия Разработчик игр на Unity PRO;имеют хорошую репутацию. Специализируются на аналитике и разработке. По промокоду TUTORTOP скидка 45% на курс;4.8;SkillFactory;20 Декабря;18 месяцев;330 000;https://tutortop.ru/goto/?number=4792&term=9;Unity
6;ИТ-инженер кибернетика умных устройств;Jфициальная школа холдинга VK (Mail.ru Group);4.5;GeekBrains;08 Января;24 месяца;350 028;https://tutortop.ru/goto/?number=4792&term=9;IT
7;Информационная безопасность (согласовано со ФСТЭК, ФСБ, УМО по ИБ России);-;4.7;Академия АйТи;10 Января;3 месяца;120 000;https://tutortop.ru/goto/?number=4792&term=9;administrator
8;Блокчейн и криптовалюты с нуля до PRO;-;4.8;Moscow Digital School;23 Декабря;2 месяца;130 500;https://tutortop.ru/goto/?number=4792&term=9;crypto
9;Веб-дизайн;Доступ к обновляемым лекциям навсегда. Реальная стажировка в Академии после обучения. Помощь в трудоустройстве. Профессиональное портфолио. Менторы – практики. Живые встречи и воркшопы. Figma-тренажер. Комьюнити.;4.7;Moscow Digital Academy;18 Декабря;7 месяцев;60 500;https://tutortop.ru/goto/?number=4792&term=9;Web
